id,CE,ENV,BME,PE,METAL,ME,EE,CPE,OPTIC,NANO,CHE,MATENG,AGRI,EDU,IE,SAFETY,MATH,MATSCI
001eval,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
002eval,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1
003eval,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
004eval,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
005eval,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
006eval,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
007eval,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
008eval,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
009eval,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
010eval,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1
011eval,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
012eval,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
013eval,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
014eval,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
015eval,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
016eval,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
017eval,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1
018eval,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1
019eval,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
020eval,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
021eval,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
022eval,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
023eval,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0
024eval,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
025eval,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
